,n2,DC,DP
0,5,1,1
1,6,2,1
2,7,3,1
3,8,5,1
4,9,8,1
5,10,13,1
6,11,21,1
7,12,34,1
8,13,55,1
9,14,89,1
10,15,144,1
11,16,233,1
12,17,377,1
13,18,610,1
14,19,987,1
15,20,1597,1
16,21,2584,1
17,22,4181,1
18,23,6765,1
19,24,10946,1
20,25,17711,1
21,26,28657,1
22,27,46368,1
23,28,75025,1
24,29,121393,1
25,30,196418,1
26,31,317811,1
27,32,514229,1
28,33,832040,1
29,34,1346269,1
30,35,2178309,1
31,36,3524578,1
32,37,5702887,1
33,38,9227465,1
34,39,14930352,1
35,40,24157817,1
36,41,39088169,1
37,42,63245986,1
38,43,102334155,1
39,44,165580141,1
40,45,267914296,1
41,46,433494437,1
42,47,701408733,1
43,48,1134903170,1
44,49,1836311903,1
45,50,2971215073,1
